Tanggal,Toko,penjualanDebit,penjualanKredit,uangMasukDebit,uangMasukKredit,[CREDIT] UNMAPPED_1000.02.05,[CREDIT] UNMAPPED_2002.08,[CREDIT] UNMAPPED_4000.100,[CREDIT] UNMAPPED_6000.01.13,[CREDIT] admin_bank,[CREDIT] admin_merchant,[CREDIT] balancing_misc,[CREDIT] balancing_rounding,[CREDIT] discount,[CREDIT] payment_cash,[CREDIT] payment_credit_bca,[CREDIT] payment_gobiz,[CREDIT] payment_transfer,[CREDIT] sales_bar,[CREDIT] sales_beans,[CREDIT] sales_bundling,[CREDIT] sales_inventory,[CREDIT] sales_konsinyasi,[CREDIT] service_charge,[CREDIT] tax,[DEBIT] UNMAPPED_1000.02.03,[DEBIT] UNMAPPED_1000.02.05,[DEBIT] UNMAPPED_1102.01,[DEBIT] UNMAPPED_1109.02.01,[DEBIT] UNMAPPED_4000.91,[DEBIT] admin_bank,[DEBIT] admin_merchant,[DEBIT] balancing_misc,[DEBIT] balancing_rounding,[DEBIT] discount,[DEBIT] payment_academy_100_vouc,[DEBIT] payment_academy_50_vouch,[DEBIT] payment_cash,[DEBIT] payment_cl_upperwest,[DEBIT] payment_credit_bca,[DEBIT] payment_go_dine_in_vou,[DEBIT] payment_gobiz,[DEBIT] payment_ovo,[DEBIT] payment_strada_gift_vou,[DEBIT] payment_strada_reward,[DEBIT] payment_transfer,[DEBIT] payment_voucher_ckt_50_0,[DEBIT] payment_voucher_florist,[DEBIT] payment_voucher_harris_p,[DEBIT] payment_voucher_justyoga,[DEBIT] payment_voucher_padel_sp,[DEBIT] payment_voucher_timezone,[DEBIT] payment_voucher_workshop,[DEBIT] payment_workshop_sms_voucher,[DEBIT] sales_bar,[DEBIT] sales_beans
2026-03-10,MKG,206745,206745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,179000,0,0,0,0,8950,18795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09,SMS,762300,762300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,660000,0,0,0,0,33000,69300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-09,MKG,813520,813520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754000,0,0,0,0,19200,40320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,813520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-08,SMS,1494345,1494345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1324000,0,0,0,0,54950,115395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-08,MKG,1568735,1568735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1377000,0,0,0,0,61850,129885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1568735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-07,SMS,1839920,1839920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1644000,0,0,0,0,63200,132720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1839920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-07,MKG,8155055,8155055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7941000,0,0,0,0,69050,145005,0,0,0,0,0,0,0,0,0,620000,0,0,0,0,7535055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06,SMS,538475,538475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,485000,0,0,0,0,17250,36225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-06,MKG,814795,814795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,739000,0,0,0,0,24450,51345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,814795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05,SMS,483750,483750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445000,0,0,0,0,12500,26250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-05,MKG,647955,647955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561000,0,0,0,0,28050,58905,0,0,0,0,0,0,0,0,0,11700,0,0,0,0,636255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-04,SMS,203280,203280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176000,0,0,0,0,8800,18480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-04,MKG,389235,389235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337000,0,0,0,0,16850,35385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
