Tanggal,Toko,Penjualan Ada,Uang Masuk Ada,Total Quinos Gross (Dari Accurate),Total Mutasi Bank (Dari Accurate),Biaya Admin Bank,Biaya Merchant
2025-04-07,MKG,Y,Y,1421074,1405459.05,10964.95,0
2025-04-08,LA.PIAZZA,Y,Y,11160575,10665820.63,99854.37,66600
2025-04-08,MKG,Y,Y,737165,731254.11,5910.89,0
2025-04-09,LA.PIAZZA,Y,N,13693145,0,0,0
2025-04-09,MKG,Y,Y,1203854,1184910.35,14293.65,0
2025-04-10,LA.PIAZZA,Y,Y,12001385,11455333.7,94491.3,161560
2025-04-10,MKG,Y,Y,781704,776505.25,5198.75,0
2025-04-11,LA.PIAZZA,Y,Y,14084525,13523509.67,148235.33,118780
2025-04-11,MKG,Y,Y,741390,734521.26,6868.74,0
2025-04-12,LA.PIAZZA,Y,Y,40419480,41453644.88,379900.12,74020
2025-04-12,MKG,Y,Y,2417390,1837059.94,12950.06,0
2025-04-13,LA.PIAZZA,Y,Y,19485785,19005908.1,178601.9,36000
2025-04-13,MKG,Y,Y,3224065,3761654.13,29790.87,0
2025-04-14,LA.PIAZZA,Y,Y,14421350,14197281.36,109288.64,114780
2025-04-14,MKG,Y,Y,597290,593108.98,4181.02,0
2025-04-15,LA.PIAZZA,Y,Y,10240965,10083811.7,105353.3,26000
2025-04-15,MKG,Y,Y,922845,913784.69,9060.31,0
2025-04-16,LA.PIAZZA,Y,Y,15534900,15397046.4,140678.6,102280
2025-04-16,MKG,Y,Y,1096095,1088513.88,7581.12,0
2025-04-17,LA.PIAZZA,Y,Y,12214085,12219957.33,118280.67,57182
2025-04-17,MKG,Y,Y,1152420,1139540.16,12879.84,0
2025-04-18,LA.PIAZZA,Y,Y,31861530,31688166.91,276591.09,63182
2025-04-18,MKG,Y,Y,2519240,2497451.46,21788.54,0
2025-04-19,LA.PIAZZA,Y,Y,29311135,28206296.07,256393.93,90880
2025-04-19,MKG,Y,Y,1704060,1688463.14,10945.86,0
2025-04-20,LA.PIAZZA,Y,Y,31020425,30649810.39,307614.61,63000
2025-04-20,MKG,Y,Y,4128985,4100777.92,28207.08,0
2025-04-21,LA.PIAZZA,Y,Y,12558260,12420193.18,91066.82,47000
2025-04-21,MKG,Y,Y,485255,481344.23,3910.77,0
2025-04-22,LA.PIAZZA,Y,Y,10226225,10004522.66,70702.34,151000
2025-04-22,MKG,Y,Y,593460,585584.4,7875.6,0
2025-04-23,LA.PIAZZA,Y,Y,11171260,10942445.55,97987.45,130827
2025-04-23,MKG,Y,Y,660845,657394.74,3450.26,0
2025-04-24,LA.PIAZZA,Y,Y,14343835,14055167.39,155050.61,148747
2025-04-24,MKG,Y,Y,878745,870725.93,8019.07,0
2025-04-25,LA.PIAZZA,Y,Y,17108565,16728496.8,142793.2,34300
2025-04-25,MKG,Y,Y,1174389,1149826.12,8062.88,0
2025-04-26,LA.PIAZZA,Y,Y,22052220,21770711.76,186843.24,58860
2025-04-26,MKG,Y,Y,3069785,3044109.2,25675.8,0
2025-04-27,LA.PIAZZA,Y,Y,22152385,21535671.25,207326.75,177387
2025-04-27,MKG,Y,Y,3923990,4831800.84,37649.159999999996,0
2025-04-28,LA.PIAZZA,Y,Y,11863785,11258453.9,109721.1,131120
2025-04-28,MKG,Y,Y,979440,2611418.46,20341.54,0
2025-04-29,LA.PIAZZA,Y,Y,12958270,12493491.85,103958.15,60820
2025-04-29,MKG,Y,Y,1103180,1094978.8,8201.2,0
2025-04-30,LA.PIAZZA,Y,Y,20463110,20029945.35,186834.65,42380
2025-04-30,MKG,Y,Y,921525,916540.85,4984.15,0
2025-05-01,LA.PIAZZA,Y,Y,39407540,38626631.66,396108.34,85655
2025-05-01,MKG,Y,Y,2620520,2602719.73,17800.27,0
2025-05-02,LA.PIAZZA,Y,Y,25008720,24651061.93,241828.07,39600
2025-05-02,MKG,Y,Y,1506065,1463043.38,12721.62,0
2025-05-03,LA.PIAZZA,Y,N,33943980,0,0,0
2025-05-03,MKG,Y,Y,1616120,1605712.49,10407.51,0
2025-05-04,LA.PIAZZA,Y,Y,31087550,30728739.82,294490.18,58620
2025-05-04,MKG,Y,Y,2262865,2240794.9,22070.1,0
2025-05-05,LA.PIAZZA,Y,Y,10623110,10458918.01,88841.99,55400
2025-05-05,MKG,Y,Y,651420,647133.23,4286.77,0
2025-05-06,LA.PIAZZA,Y,Y,18747480,18440452.6,186677.4,12000
2025-05-06,MKG,Y,Y,788990,785443.39,3546.61,0
2025-05-07,LA.PIAZZA,Y,Y,24161230,23576122.25,215268.75,302489
2025-05-07,MKG,Y,Y,1146586,1125427.91,11258.09,0
2025-05-08,LA.PIAZZA,Y,Y,14358300,13904697.45,143475.55,151127
2025-05-08,MKG,Y,Y,1175885,1164474.6,11410.4,0
2025-05-09,LA.PIAZZA,Y,Y,18816740,18478974.18,173625.82,94840
2025-05-09,MKG,Y,Y,1334866,1306092.87,16773.13,0
2025-05-10,LA.PIAZZA,Y,Y,28364050,27763857.54,256852.46,143340
2025-05-10,MKG,Y,Y,2404545,2386731.96,17813.04,0
2025-05-11,LA.PIAZZA,Y,Y,34326710,33904351.27,347178.73,27280
2025-05-11,MKG,Y,Y,3634650,3604531.53,30118.47,0
2025-05-12,LA.PIAZZA,Y,Y,30193125,29846937.46,287502.54,22880
2025-05-12,MKG,Y,Y,1642410,1628505.94,13904.06,0
2025-05-13,LA.PIAZZA,Y,Y,21798870,21405626.9,223648.1,27820
2025-05-13,MKG,Y,Y,631785,626717.17,5067.83,0
2025-05-14,LA.PIAZZA,Y,Y,11832085,11538532.5,124642.5,95100
2025-05-14,MKG,Y,Y,224070,222501.52,1568.48,0
2025-05-15,LA.PIAZZA,Y,Y,6182160,6023054.25,71105.75,88000
2025-05-15,MKG,Y,Y,490875,486567.81,4307.19,0
2025-05-16,LA.PIAZZA,Y,Y,20227125,34276140.7,298659.3,193060
2025-05-16,MKG,Y,Y,394480,391251.17,3228.83,0
2025-05-17,LA.PIAZZA,Y,Y,32935425,32236844.01,318250.99,90240
2025-05-17,MKG,Y,Y,2047755,2030745.14,17009.86,0
2025-05-18,LA.PIAZZA,Y,Y,25976393,25646426.66,243366.34,86600
2025-05-18,MKG,Y,Y,2150720,2130847.17,19872.83,0
2025-05-19,LA.PIAZZA,Y,Y,11897900,11717765.94,104194.06,75940
2025-05-19,MKG,Y,Y,492248,475815.47,2932.53,0
2025-05-20,LA.PIAZZA,Y,Y,12808845,12528182.84,125642.16,55100
2025-05-20,MKG,Y,Y,918685,908418.57,10266.43,0
2025-05-21,LA.PIAZZA,Y,Y,16529515,16237718.88,135240.12,156556
2025-05-21,MKG,Y,Y,706860,700000.01,6859.99,0
2025-05-22,LA.PIAZZA,Y,Y,13136915,12964037.91,101537.09,71340
2025-05-22,MKG,Y,Y,591635,586063.57,5571.43,0
2025-05-23,LA.PIAZZA,Y,Y,15423950,15088694.04,156738.96,125367
2025-05-23,MKG,Y,Y,567775,563722.93,4052.07,0
2025-05-24,LA.PIAZZA,Y,Y,42861761,41929356.03,360058.97,38456
2025-05-24,MKG,Y,Y,2224855,2211171.96,13683.04,0
2025-05-25,LA.PIAZZA,Y,N,23517300,0,0,0
2025-05-25,MKG,Y,Y,2502805,2477636.98,25168.02,0
2025-05-26,LA.PIAZZA,Y,N,12094495,0,0,0
2025-05-26,MKG,Y,Y,704365,695757.43,8607.57,0
2025-05-27,LA.PIAZZA,Y,Y,17919055,17652112.84,177697.16,64240
2025-05-27,MKG,Y,Y,1841055,1816165.31,24889.69,0
2025-05-28,LA.PIAZZA,Y,Y,15437095,15167411.11,136168.89,58440
2025-05-28,MKG,Y,Y,989305,982242.73,7062.27,0
2025-05-29,LA.PIAZZA,Y,Y,33241160,32755150.23,319009.77,116000
2025-05-29,MKG,Y,Y,1915215,1884793.83,13321.17,0
2025-05-30,LA.PIAZZA,Y,Y,20405185,20138116.1,188468.9,39600
2025-05-30,MKG,Y,Y,1588060,1576268.79,11791.21,0
2025-05-31,LA.PIAZZA,Y,Y,38045740,37523243.91,356146.09,80100
2025-05-31,MKG,Y,Y,1062984,1046186.95,7497.05,0
2025-06-01,LA.PIAZZA,Y,Y,29530163,29277131.38,135606.62,30800
2025-06-01,MKG,Y,Y,1877080,1860231.94,16848.06,0
2025-06-02,LA.PIAZZA,Y,Y,12190340,11882785.9,104459.1,60420
2025-06-02,MKG,Y,Y,637825,632318.8,5506.2,0
2025-06-03,LA.PIAZZA,Y,Y,17365040,16930374.93,171845.07,179920
2025-06-03,MKG,Y,Y,505267,501920.14,3346.86,0
2025-06-04,LA.PIAZZA,Y,Y,14801475,14515731.5,116158.5,92860
2025-06-04,MKG,Y,Y,908811,900621.27,8189.73,0
2025-06-05,LA.PIAZZA,Y,Y,26543840,26251758.84,217006.16,0
2025-06-05,MKG,Y,Y,963270,956558.2,6711.8,0
2025-06-06,LA.PIAZZA,Y,Y,31547080,30922773.76,262376.24,120540
2025-06-06,MKG,Y,Y,2464158,2446185.4,17972.6,0
2025-06-07,LA.PIAZZA,Y,Y,27996141,27654702.53,247773.47,53240
2025-06-07,MKG,Y,Y,1984707,1965359.99,19347.01,0
2025-06-08,LA.PIAZZA,Y,Y,26162965,25629509.42,255473.58,125887
2025-06-08,MKG,Y,Y,2298891,2282803.53,16087.47,0
2025-06-09,LA.PIAZZA,Y,Y,19038570,18666613.17,178436.83,78020
2025-06-09,MKG,Y,Y,1251756,1240372.72,11383.28,0
2025-06-10,LA.PIAZZA,N,Y,0,17916662.08,151497.92,40400
2025-06-10,MKG,Y,Y,1047235,913910.62,7249.38,0
2025-06-11,LA.PIAZZA,Y,Y,12848630,12549069.7,99040.3,103500
2025-06-11,MKG,Y,Y,614705,610356.29,4348.71,0
2025-06-12,LA.PIAZZA,Y,Y,16457820,16008151.19,151363.81,57060
2025-06-12,MKG,Y,Y,545396,539667.89,5728.11,0
2025-06-13,LA.PIAZZA,Y,Y,19171880,18517550.17,172459.83,124700
2025-06-13,MKG,Y,Y,641940,637030.25,4909.75,0
2025-06-14,LA.PIAZZA,Y,Y,30326990,29955563.66,247291.34,73800
2025-06-14,MKG,Y,Y,2738879,2708657.98,21221.02,0
2025-06-15,LA.PIAZZA,Y,Y,25848975,25036520.03,247929.97,143780
2025-06-15,MKG,Y,Y,1588106,1639133.35,17117.65,0
2025-06-16,LA.PIAZZA,Y,N,15031545,0,0,0
2025-06-16,MKG,Y,Y,875290,864241.46,11048.54,0
2025-06-17,LA.PIAZZA,Y,Y,13821116,13529340.1,121795.9,98980
2025-06-17,MKG,Y,Y,475626,481243.1,3622.9,0
2025-06-18,LA.PIAZZA,Y,Y,22263765,21741217.42,197232.58,300315
2025-06-18,MKG,Y,Y,1011250,1004370.7,6879.3,0
